name,id,uri,followers,genres,popularity,top_tracks
Plaxon,5rRInZb0tVQj0SuiTC5tIM,spotify:artist:5rRInZb0tVQj0SuiTC5tIM,18,,47,Surreal; Midway Through; T-77; Lullaby
Hi Hat Henry,7tsp47BEDJSjYQB0YaDV52,spotify:artist:7tsp47BEDJSjYQB0YaDV52,939,lo-fi beats; lo-fi,47,Crosswinds; Island Bounce; Big Fish; Bossy Bossa; Funkophomatic; The whispers; Soul Kitchen; Cigarette Serenade; Catch That Goblin; Casual Jam
Haku-San,0dGpPnF1fbxs3Bhz2bO8UA,spotify:artist:0dGpPnF1fbxs3Bhz2bO8UA,123,lo-fi; lo-fi beats,47,Midnight Dreams and Lights; Twilight; Dusking; Staying Overnight; The Purple House; Forgotten Forest; Cloudy Sky; The Old Mill House; Look! A Factory On The Hill; Summer Station
low&slow,5nRIouNA5T37sVSDEjbhAL,spotify:artist:5nRIouNA5T37sVSDEjbhAL,1045,lo-fi beats; lo-fi,47,Echoes of Nebula; poseidon; glow; Laguna; highway one; wakayama; Waves; journey; Almost there; labels
yosei.,611H6R34SPmF5jQLMzc0wf,spotify:artist:611H6R34SPmF5jQLMzc0wf,95,jazz beats; lo-fi; lo-fi beats,47,Soluna; forestwalk; temporal; capsize; beyond; stasis; show and tell; time walk; spellskite; Cascade
low pines,0vVUkxt48ozguY3xh3ntKg,spotify:artist:0vVUkxt48ozguY3xh3ntKg,144,lo-fi beats; lo-fi,47,something to say; back alone; littlebean; Beneath the Surface; Whisper; measuring time; low light; glass rain; tempting fate; forest rain
Half Blue,2OFRhWUjfTKWj9XGiAZplC,spotify:artist:2OFRhWUjfTKWj9XGiAZplC,8777,jazz beats; lo-fi beats; lo-fi; jazz rap,47,forestwalk; Nightcap; temporal; Canopic; No Doubt; stasis; Moonlit; Soothsayer; show and tell; time walk
BeatsBySindri,3l4l6Du65QxJ1uhw8SLsyV,spotify:artist:3l4l6Du65QxJ1uhw8SLsyV,451,lo-fi beats; lo-fi,47,Kyla; Gomorra; KONTAKT; Hashiru; Sanctuary; Centina; MOTGIFT; Helios; Way Off; Picanha
herman.,3WyJSGYPoo86oOCSCcWNr6,spotify:artist:3WyJSGYPoo86oOCSCcWNr6,471,lo-fi; lo-fi hip hop,47,Soft Breeze; Wistful; Memories; Dusk; Hazy Morning; Remember me; Snowfall; Falling Leaves; Composed; Ether
Zycix,2Wv6IR9Z1e2zHWLDOHWUFy,spotify:artist:2Wv6IR9Z1e2zHWLDOHWUFy,1217,lo-fi,47,Way Closer; Shades of Night's Sky; Windmill; Last Days Of Summer; Silent Fire; Silent Shelter; Moon Tales; Maple Morning; Old Village; Eternal Skies
nightnotes,334qcUILkYr6OYnqTi1DD3,spotify:artist:334qcUILkYr6OYnqTi1DD3,764,lo-fi beats; lo-fi,47,"forest nights; siljan; fireflies; letter to amtis; just me watering my plants, overthinking stuff; it's hard saying goodbye sometimes; a moment alone; i might snooze tomorrow; Young Poets; that time at the owl's inn"
Rustique Beats,6i2uc5LaqqgBJ6SozGzryq,spotify:artist:6i2uc5LaqqgBJ6SozGzryq,1480,lo-fi beats; lo-fi,47,bustin' out; late night walking; tree topper; wetlands; rockin' around the christmas tree; favour the brave; distant memories; Sunnyside Up; spring clean; seabreeze
KiddoCalvin,08tB77WyTGC9pZ5Pm7Ymu6,spotify:artist:08tB77WyTGC9pZ5Pm7Ymu6,242,lo-fi beats; lo-fi,46,Old Days; Sparks Down; Pink Sunrise; Oak Tree; Simmer; Colors; New Journey; Until Next Time; Bestfriend; No Plans
Ali Kaj,06VNBq9wJN4eEo6ZRM7HGI,spotify:artist:06VNBq9wJN4eEo6ZRM7HGI,1462,lo-fi beats; lo-fi,46,raindance; sweetness; coconut; Between Us; see you tomorrow; train to tokyo; smileyface; in the midst; forever dreaming; blissful
Sunny Léo,2w5KiJbmzmpynhshcjodYG,spotify:artist:2w5KiJbmzmpynhshcjodYG,33,,46,All Nighter; Ten; Naxos Beach; Golden Goose; Swings; Tanned Skin
Muroki,1AeSPGqAkY1Me6ed49vb0n,spotify:artist:1AeSPGqAkY1Me6ed49vb0n,27,lo-fi beats,46,Drafted; Where the Stones Breathe; Petit cœur
Space Queen,3m5nS34Ypq4yvWZ2krrVHD,spotify:artist:3m5nS34Ypq4yvWZ2krrVHD,1400,lo-fi,46,Violet; Bonita; Moving; On the Roof; Tempo; Rare Moonglow; Dream Sequence; By the Hills; The Guide to Wild Flowers; Dusk
Photosynthetic,07gRq5MLkPSFcl6ECDONS1,spotify:artist:07gRq5MLkPSFcl6ECDONS1,102,lo-fi beats; lo-fi,46,skagen; City Boy; Yuzu; Smiley; PAGES; Tea; Maxe
mxgnetic.,5u7mGLVX9UB0iKwkgMywJ9,spotify:artist:5u7mGLVX9UB0iKwkgMywJ9,115,lo-fi,46,sunrise; sunny days; halloween; you; waiting 4 u; ahead of time
Sundaze,2YxIkLC16Y21afaSqjP9b0,spotify:artist:2YxIkLC16Y21afaSqjP9b0,398,jazz beats; lo-fi beats; lo-fi,46,Cirrus; early hours; Heavenly; No Sweat!; Late Winter; Freefall; Roots; Cozy Christmas; Night Conversations; Icogito
Soulflu,6dBaFTE0JSiCN4JL9K03tM,spotify:artist:6dBaFTE0JSiCN4JL9K03tM,296,lo-fi,46,Cozy Nights; Escape; high above; hey there; AIRPORT; naranja; Firefly; catch me if you can; lush living; living free
yellofish,6wHTJtZcirtHMW5PALNq3p,spotify:artist:6wHTJtZcirtHMW5PALNq3p,996,lo-fi beats; lo-fi,46,engine; shanghai tower; what´s my name; early bird; violett; bonsai tree; curry stew; igloo; vase; ocean view
Berhanio,3ZkP4NjIpKfyaTf2hTAmkW,spotify:artist:3ZkP4NjIpKfyaTf2hTAmkW,196,lo-fi beats; lo-fi,46,Make It; Wassup; Memory Game; Honey; Fancy; Top Floor; Main Street; Milkshakes; Tell Me
cløse2u,4SAUbKw5T4xORiIq16XKUE,spotify:artist:4SAUbKw5T4xORiIq16XKUE,772,lo-fi beats; lo-fi; jazz beats,46,Reading Books; Feels Like; Back in the Shadow; Snowball Fight; Lights; Glad We've Met; Tropical Punch; Coffee Visit; Grey; Random
Cozy Nordic,5bXNQJuvFUMikwDTTOg5ou,spotify:artist:5bXNQJuvFUMikwDTTOg5ou,2231,lo-fi; lo-fi beats,46,rainfall; quiet night; lille dyp; the sheeps; sofa nap; halloumi; afternoon tea; daylight; quiet spot; way point
lil francky,3FlerjqtDDQXTlB4o1165S,spotify:artist:3FlerjqtDDQXTlB4o1165S,19,lo-fi beats,45,Solstice; on the roof
oakbear,2rPCLX9rh1xFeRCTUCD5R6,spotify:artist:2rPCLX9rh1xFeRCTUCD5R6,241,lo-fi beats,45,in an open field; After Midnight; Teardrops; overthinker; Leaving The Place; Half Awake; frosted terrace; Pacific Place Reverie; Timeless Reflections; Colours of the Night
$imba,6ZPRXOOs0K9EipFamTz2YP,spotify:artist:6ZPRXOOs0K9EipFamTz2YP,280,lo-fi,45,aquatic dreams; connection; aqua de vida; martini; ice; Sleepless; aries; dough; gratitude; dugong
Ahntow,4916V2MuzFT62WpTGgm64H,spotify:artist:4916V2MuzFT62WpTGgm64H,3382,lo-fi; lo-fi beats,45,Sunsettle; Drowsink; Moonless; moonbeam.; Little Walk; Nightune; Oscura; Worn; Afterain; surf
chanchito estafa,3qrY0YViGM8BhOjdKFNaOE,spotify:artist:3qrY0YViGM8BhOjdKFNaOE,108,lo-fi beats; lo-fi,45,little bird; dirty loops; the house cat; spaceship; mi casita en chile; coconutty; eclipse; tower; nightstand; weather report
.clouds,6Ha1LtNwHLYtdp84uDru1b,spotify:artist:6Ha1LtNwHLYtdp84uDru1b,17399,lo-fi,45,long drive; autumn sun; lilac days; cozy mornings; sweet evening; beautiful morning; serenity; warm rain; exhale; apnea
