name,uri,followers,genres,popularity,top_tracks
MC G15,spotify:artist:3Nipsl6GVwwGyeAk0J29C6,3283919,funk; brazilian funk,70,Mãe Solteira; MTG QUEM NÃO QUER SOU EU; Set do G15 - A Revoada Começou; Set dos Casados; Cara Bacana; Ela Vem; Deu Onda; Só Você; Você Foi Diferente; EU VOU COM CARINHO ELA QUER COM FORÇA
DG e Batidão Stronda,spotify:artist:7gIeuq2qBfYhO1budb6TSQ,93536,piseiro; arrocha; forró,69,Mãe Solteira; Vou Passar Gelinho; Gata - Barbie; Malvadinho (Sei Que Ela é do Job); Mó Fita - DBMIX; A Distância Tá Maltratando; Fui Muleque; Preta do Cabelo Cacheado; Nós Tá Por Aí - Remix; Preta do Cabelo Cacheado
Rafa e Junior,spotify:artist:583d9476xT4d6A0pADiRJg,21156,agronejo; sertanejo; sertanejo universitário,69,"Ama Um Maloqueiro; Arrastadão; Só no Rolo; Querendo Me Namorar; Mais um Beijo - Remix; Mais um Beijo; Conspirou (Remix); Confusão - Na Bebura, Ao Vivo; Pra Que Foi Divulgar; Aqui é Ms - Up Session"
J. Eskine,spotify:artist:4gKSUeHW82tGBeJsJSB1JC,379775,arrocha; piseiro; seresta; forró; brega,68,Mãe Solteira; Resenha do Arrocha; Resenha de Ex-Love; AMOR BANDIDO; Tadala - Ao Vivo; Tem Culpa Eu; Cachaça E Mel; Resenha do Arrocha 3.0; Resenha do Arrocha 2.0; Costura - Ao Vivo
DU'L,spotify:artist:4bJqqUCbQmRxziUoxUz5mS,3116,trap funk; brazilian trap,67,Cê Deve Tá Linda; Nóis É Chefe 2; Sem Sentimento; Bloco das Sereias; Seu Job; Agora Você Lembra; Perigo; Cabriolet Nova; Tropa Dos Manda Chuva (feat. MC Negão Original & MC Dena); Cara Fechada
Mc Talibã,spotify:artist:2DMQ1LeygTDGeyErwBwaeG,128162,funk; brazilian funk; phonk,67,VAI NO CHÃO BANDIDA; MONTAGEM BRAVO - Slowed; Dentro do I30; Que Movimenta; MONTAGEM BRAVO; Um Sabadão Desse Uma Lua Dessa; MONTAGEM BRAVO - Super Slowed; Brincadeira Nova; Tipo Medina; Um Sabadão Desse Uma Lua Dessa - Sertanejo Remix
DJ DAVI DOGDOG,spotify:artist:5ffbqOCrcxCejQ7oqfWXm9,21850,funk; brazilian funk,66,Bbzão da Boca Inchada; Valentino; Toma Seu 5 Min de Fama; Ariano; Hoje É Papo de Festa; Seu Cupido Errou Bye Bye Bye; NOTA FALSA; Trajado de Tommy; Tigrinho Vai Soltar Carta; Musa Carioca
Talita Mel,spotify:artist:5wbSuC0q60AcyFwikoH8k3,28368,forró; piseiro; arrocha; sertanejo,66,Melzinho; Vestidinho; Teus Olhos; Jogo do Desprezo; Batom no Tom; Além do Pós; Sufoco; Talita Vida Louca; Faça Mal Feito; Fonte dos Desejos
Vitor e Luan,spotify:artist:5hDZAExrfOVqKBLS8Ofyac,190323,sertanejo; sertanejo universitário; piseiro; arrocha,66,Cara da Serenata - Live; Cara da Serenata; Meio Mundo de Coração - Ao Vivo Em Brasília; Localiza Aí BB; Eu e Eu; Sem Explicação - Ao Vivo; Lucidez - Ao Vivo Em Brasília; Sofridas por Minuto - Ao Vivo; Quem Ta Solteira - Ao Vivo; Birinight
Mc guizinho niazi,spotify:artist:6iUG0pMyifNBudO9B1s7cD,67598,funk; brazilian funk,65,Primeiro Beck Ela Me Mamou; Machuquei; Famosinha do Instagram; Japonesinha; Machuquei Machuquei X Ai Tá Machucando; TU VAI MAMAR (feat. MC Rafa 22 & MC Meno K); Only Fans; Machuquei; Tipo Medley; Quem É o Cara - O Cara É Muito Foda
Luccas & Rodrigo,spotify:artist:76FeGERn9sCv607gktNjQh,14814,sertanejo; agronejo,65,Cara da Serenata - Live; Cara da Serenata; Coração Manhoso - Live; Céu na Terra - Live; Antes da Briga - Live; Ilude Gostoso - Live; Tipo Férias - Live; Cama Que Ela Esquenta - Live; Par Perfeito; Contato Físico
Teko Bolado,spotify:artist:0hl7gXAUNmCr3cyhoE5Yga,17447,brega funk,65,Encosta na Parede; Sabotaram Meu Copo Arrochadeira; Sobe Morro Desce Morro; Penélope (Arrochadeira Remix); Socada Intensa; Eu Boto Ela Pede Soca; BOM E NOVO; Achei Que Era Pagode ( Remix Arrochadeira ); Com o Bundão - Arrochadeira; Te Uso e Jogo Fora
Rizzi Get Busy,spotify:artist:4VlgWkOGAvRh8Ke38UvqgO,2838,,65,Encosta na Parede; Tentei Ser Good Vibes; Era Só um Pesadelo; Que Situação; Doismilitantos; Cadeado; Open The Tcheka (PHONK REMIX); Rabetão - Phonk Remix; Filhas do Improvável; Tropa Das Brabas 2.0
DJ JHOW BEATS,spotify:artist:4CpxOMOqIfPQmEet9UnWhe,8441,funk; brazilian funk,64,Senta e Cala a Boca; Solo Paulista; FAZ 360 E SENTA; Epoca de Escola; Vai Ter Que Pagar Caro; Vai Malvada Vai Danada; Eu Fico Meio Sem Jeito; Prenderam o Bode; VAI TOMAR TOMANDO; Outro Planeta
SiarBeats,spotify:artist:5d2p2DbKrt26bBVeLcpTnr,3,,64,
Nickz Beatz,spotify:artist:3EwCyH36uCmBdntay44KAT,6,brega funk; brazilian trap,64,Black; Night Lights
Dj Guuh,spotify:artist:58SW6CcsQsZthOpEf0KASk,12493,funk; brazilian funk,61,VAI NO CHÃO BANDIDA; Phonk das Sombras; Automotivo Pode Vim; Automotivo Lunar; Só Cavalgada; Ela Botou o Gps; Meu Barbeiro Tira Onda; Phonk das Sombras - SLOWED; PISEIRO VAI NO CHÃO BANDIDA; AUTOMOTIVO TOMA CABEÇADA DENTRO
