name,uri,followers,genres,popularity,top_tracks
Danilo e Davi,spotify:artist:5DaqVKaxeqDbJuxaIP9m4u,247680,sertanejo; agronejo; sertanejo universitário,73,Apaga Apaga Apaga - Ao Vivo; Mudou O Texto; Você Me Persegue; Capivara; Estupidamente Gelada; Duvidoso; Isso Não é Ladrão; Tive Que Bater Palma - Ao Vivo; Fumo da Noite - Ao Vivo; Tá Namorando Pra Quê? - Ao Vivo
Matheus Fernandes,spotify:artist:37mqXU98U5GmH5ZDtlHM1c,928163,piseiro; sertanejo; pagode; forró; arrocha; sertanejo universitário,72,Grau de Maluca - Ao Vivo; Lapada Dela - Ao Vivo; Triplex - Ao Vivo; Balanço da Rede; PROJETO ANOS 2000 (Sequência do Pente / Copo de Vinho / Ela Só Pensa em Beijar / Devagarinho); Baby Me Atende - Ao Vivo; Altas Loucurinhas (Uni Duni Tê) - Ao Vivo; Casal De Solteiro - Ao Vivo; Botada à Luz de Velas - Ao Vivo; Coração Cachorro
DJ Ari SL,spotify:artist:3la3vRfIuDMsydpPfUBryR,34949,agronejo; sertanejo,71,Ama Um Maloqueiro; Tantão; Descer Pra BC; Passar de Camionete; Agora Eu Pego; NÓS TEM O DOM; Mega Funk da Gauchada; Agora Esquece; Cavalgada Braba; Fuego da Roça
Mc Pedrinho,spotify:artist:1etNnR2SdlelBQAICa2Q5m,4673000,brazilian funk,71,"Encosta na Parede; Set do G15 - A Revoada Começou; DANÇARINA; Eu Vou Te Pegar; Se Prepara 2; Gol Bolinha, Gol Quadrado 2; Patricinha; Bumbum Bate; Derrotas Pro Amor Ganhar (Ao Vivo); Bipolar"
Tropa da W&S,spotify:artist:1APqNiQUA2XpwLEbywSWmZ,25723,brazilian funk,71,DIA DELÍCIA; Encosta na Parede; Fui Mlk; DIA DELÍCIA - SLOWED; DIA DELÍCIA - Super Slowed; MTG QUERO VER SE VOCÊ TEM ATITUDE; Baby Eu Tava na Rua da Água; DIA DELÍCIA - Sped Up; Pode Me Bloquear; Ritmada Crazy
Dj Caio Vieira,spotify:artist:4Kv35Xnw1ODjO2nIHLhdBY,99175,brazilian funk; funk de bh,71,FAMOSINHA; Aventura Com as Paty; De Baixo Pra Cima; Terminei Com A Ex; Conselho da Minha Ex; Faz 10K e Dorme; Mtg Quando a Noite Cai; OCASIÃO; Direto pra Base; Se Gostou de Mim Fé
Kaique e Felipe,spotify:artist:0JRPF8WIKUtSO2IUYfrcuh,99992,sertanejo; agronejo; sertanejo universitário,71,Vacilona - Ao Vivo; Cachaçada - Ao Vivo; Me Ama Consciente - Ao Vivo; Saveiro; Eu Quero Ser Grato; Do Final Pro Começo (Another Love) - Ao Vivo; Só Vivendo; Caindo a Ficha - Ao Vivo; Solteiro Iniciante; Subterrâneo - Ao Vivo
Vitão,spotify:artist:06lnOkY99sXVW44Y0M4BDP,902199,brazilian pop; brazilian hip hop,70,Eu Vou na Sua Casa; Poesia Acústica #7 Céu Azul; Penelope; Flores; Sei Lá; Café; Embrasa; Cobertor - Remix; Complicado; Te Liguei
Malibu,spotify:artist:0PMk31f9Log4ixwUUY40p6,212291,pagode; brazilian pop,70,Eu Vou na Sua Casa; Cigana; Não Vai Embora; Penelope; Minha Arte; Algoritmo Íntimo; Pura Ilusão; Corda Bamba; Saudade de Falar de Amor; Só Quero Viajar
Léo Santana,spotify:artist:7KVJCU4z5L4EUHILL8aMxR,2436461,pagode baiano; axé; piseiro; pagode; arrocha; brazilian pop; brazilian funk; forró; sertanejo,70,"Desliza (""Ólhinho"" No Corpinho); Botecoterapia - Ao Vivo; Surra De Toma - Ao Vivo; Zona De Perigo; Perna Bamba; Posturado E Calmo; Cama Repetida; Contatinho - Ao Vivo; Áudio Que Te Entrega - Faixa Bônus; Golzinho Vermelho - Ao Vivo"
Vitinho Imperador,spotify:artist:6xrc4RXcso9uKlYWlIANPU,462244,piseiro; forró; arrocha; brega; sertanejo; seresta,69,Eu Me Apaixonei; Ela É Linda - Ao Vivo; Sem Limites para Sonhar; Pouca Roupa; Volta Rapariga; Baby Fala pra Mim; Se Rapariga Fosse Flor; Cria de Favela; Foge Comigo Agora; Cházinho da do Job
Rafa e Junior,spotify:artist:583d9476xT4d6A0pADiRJg,24621,agronejo; sertanejo; sertanejo universitário,69,"Ama Um Maloqueiro; Arrastadão; Só no Rolo; Mais um Beijo - Remix; Querendo Me Namorar; Mais um Beijo; Conspirou (Remix); O Cara Da Saveiro; Confusão - Na Bebura, Ao Vivo; Nó Em Pingo D'Agua - Na Bebura, Ao Vivo"
Diego & Arnaldo,spotify:artist:0CrGLmfVKzk9rAyiNb91ft,1519508,sertanejo; sertanejo universitário; agronejo,69,Vai Cair Água - Ao Vivo; Fala Comigo (Alô) / Onde Anda Meu Amor - Ao Vivo; Desconhecido - Ao Vivo; Relógio Parado (Ao Vivo); Disk Recaída - Ao Vivo; Último Adeus / Blusa Vermelha - Ao Vivo; Sofri em Dobro; Receita de Amar / O Amor Não é Paixão - Ao Vivo; Saudade / Desejo de Amar - Ao Vivo; De Igual Para Igual - Ao Vivo
Carol Biazin,spotify:artist:5dYdZmGyv2UTIN1XMe1drN,482940,brazilian pop; nova mpb,69,Amor Traumatizado; Que Pecado!; ligações de alma; real valor; Dilemas da vida moderna; Corações de Pedra; TE AMO SEM CULPA; AMAReSÓ; Raio X - Ao Vivo; BAGUNÇA
Dj Victor,spotify:artist:5kKzlgNRX8FgC6Bni5DNNC,529831,brazilian funk; funk consciente; trap funk,69,Pé na Areia; Sempre na Simplicidade; Mó Fita; Tchau Obrigado; Modo Esquece; Chuva de Verão (Modo Esquece); Sagaz; Saque Fantasma; Favela Win 3; SET DO DJ VICTOR 2
DJ TOPO,spotify:artist:0xj9MJx9r0wO2o4aqdergP,258372,brazilian funk,69,MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1; Na Imaginação; BATE VOLTA; MTG QUEM NÃO QUER SOU EU; MTG PASSA PASSA PRA EU SARRAR; Medley Putaria 4.0: Socadão / Deixa Rolar / Golada No Jack / Braba No Chá; PEDRIN; Comemoração; Sem Chantagem; Fala Que Me Ama É Cedo Demais X Vai Sentando Sem Compromisso
DJ DAVI DOGDOG,spotify:artist:5ffbqOCrcxCejQ7oqfWXm9,24814,brazilian funk; trap funk,69,Valentino; Bbzão da Boca Inchada; Ariano; Toma Seu 5 Min de Fama; Hoje É Papo de Festa; Guia do Trecho; Seu Cupido Errou Bye Bye Bye; O Que Eu Posso Fazer; Tô Chefe; Águia Anda Com Águia
MC Willian,spotify:artist:5eJi7nckPalxu8R7AAyfuO,20401,brazilian funk; funk consciente; trap funk,68,Vou pela Madrugada; Valentino; Quarto de Motel; Amiga Safada; Quarto Escuro; Na Onda da Balinha; Retalhos de Cetim; Tropa dos Raul 2.0; Glock Camuflada; Momentinho Privê
Talita Mel,spotify:artist:5wbSuC0q60AcyFwikoH8k3,37144,forró; piseiro; arrocha; sertanejo,67,Melzinho; Medley Muído de Vaquejada - Desce do Cavalo / Balada do Vaqueiro / Monta Logo Vai / Calma / Senta No Fazendeiro / Deixa Ela Montar Na Minha Garupa / Botadão Do GW; Vestidinho; Jogo do Desprezo; Teus Olhos; Além do Pós; Batom no Tom; Sufoco; Vagabundo - Ao Vivo; Talita Vida Louca
