track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Only - deer park Remix,Mori Mori,Mori Mori; Deer park,BBV (Deluxe),,,,,2025-08-14,3:27,False,https://open.spotify.com/track/3elkoL2WSMLx5TLOElurle,spotify:track:3elkoL2WSMLx5TLOElurle,32369,243029,experimental; ambient; noise; electronic; drone,,,,100,,,Person,,2239,5163,,lastfm+mb
Is Love Knowing,Car Culture,Car Culture; Physical Therapy,Rest Here,,,,,2025-10-09,4:30,False,https://open.spotify.com/track/3OTgucN4iIioIDB0dM9K8I,spotify:track:3OTgucN4iIioIDB0dM9K8I,31815,226660,ambient; Leftfield; downtempo; Canadian; montreal,JM,Jamaica,reggae; dub; roots reggae; soul and reggae,100,1976,,Group,,7128,16751,,lastfm+mb
"If I Asked You, You'd Tell Me",Jabu,Jabu; Josh Horsley,A Soft and Gatherable Star,,,,,2024-10-18,2:58,False,https://open.spotify.com/track/5sJiFpBwLUVzQNqwHO0pJ7,spotify:track:5sJiFpBwLUVzQNqwHO0pJ7,39477,362107,electronic; experimental; ambient; dub; downtempo,,,,100,,,Group,,4501,10752,,lastfm+mb
stuck in a rut,Charlie Osborne,Charlie Osborne,[Finding Melody : Part 2],,,,,2024-10-24,3:58,False,https://open.spotify.com/track/0MzH4Ms6UZ1vL6XIowqbXk,spotify:track:0MzH4Ms6UZ1vL6XIowqbXk,3585,20982,ambient; experimental,US,United States,rock; pop; folk; blues rock; country rock,100,1963,,Person,female,953,3510,,lastfm+mb
Go Oli Go!,Oli XL,Oli XL,Lick The Lens – Pt.1,,,,,2025-08-27,4:22,False,https://open.spotify.com/track/4MYMXQgp7Sey8fEVrZldxc,spotify:track:4MYMXQgp7Sey8fEVrZldxc,128442,1668135,idm; experimental; ambient; Deconstructed Club; bass,SE,Sweden,electronic; ambient; idm; _private tag 1,100,1995,,Person,,23053,122901,,lastfm+mb
Dawn - Raisa K Sunset Remix,TONE,TONE; Raisa K,So I Can See You (Remixes),,,,,2023-11-03,3:42,False,https://open.spotify.com/track/3UmAc2ov9CpMzr2JeO2cCl,spotify:track:3UmAc2ov9CpMzr2JeO2cCl,52113,498580,post-rock; rap; instrumental; Hip-Hop; Deutschrap,US,United States,hip hop; pop rap; west coast hip hop; classic pop and rock,100,1966,,Person,male,10417,22604,,lastfm+mb
Hopelessness Wont Get You Anywhere,Double Knee,Double Knee,Epiphany Playground,,,,,2024-10-31,3:20,False,https://open.spotify.com/track/2esfovHK1rPYG1rTFYB1Sv,spotify:track:2esfovHK1rPYG1rTFYB1Sv,8445,98260,indie; electronic; shoegaze; indie rock; slowcore,DE,Germany,german; neue deutsche welle; ndw; rock; deutschrock,100,1969,2016,Group,,861,3368,,lastfm+mb
Party People,Mori Mori,Mori Mori; Thrilliam Angels,Birds & I,,,,,2023-03-09,2:58,False,https://open.spotify.com/track/6ohABxfrFMQrgVFuFmvwYV,spotify:track:6ohABxfrFMQrgVFuFmvwYV,32369,243029,experimental; ambient; noise; electronic; drone,,,,100,,,Person,,2616,8016,,lastfm+mb
Marian 323,helen island,helen island,last liasse,,,,,2024-02-21,3:21,False,https://open.spotify.com/track/41jIvlXVEo076nfhKBJrRP,spotify:track:41jIvlXVEo076nfhKBJrRP,36985,335476,hypnagogic pop; electronic; france; Leftfield; ambient,,,alternative pop; hypnagogic pop,100,,,,,3837,10149,,lastfm+mb
Hell,Witches Exist,Witches Exist,Fertilizer,,,,,2022-08-26,5:00,False,https://open.spotify.com/track/4BIG0bQ78JLWTUf66ijLRq,spotify:track:4BIG0bQ78JLWTUf66ijLRq,33741,199787,shoegaze; indie rock; noise pop; indie; dream pop,,Austin,,100,,,Group,,1015,2594,,lastfm
Just a Sign,Evan Wright,Evan Wright,Sound from out the Window,,,,,2021-08-25,3:35,False,https://open.spotify.com/track/05UuKYDMqx6vg8dvSTmbuV,spotify:track:05UuKYDMqx6vg8dvSTmbuV,34049,170434,folk; indie pop; folk pop; indie folk; funk_add_to_lidarr_batch_9,US,United States,background vocalist; soul; disco; gospel; rhythm and blues,100,1953,2020,Person,female,21103,56442,,lastfm+mb
Wait In Vain,Threshold,Threshold,Thief,,,,,2024-02-08,2:27,False,https://open.spotify.com/track/4bsMaJI5TNqnxnvmAnK8h6,spotify:track:4bsMaJI5TNqnxnvmAnK8h6,138837,5158315,Progressive metal; Progressive rock; heavy metal; metal; Progressive,GB,United Kingdom,progressive metal,100,1988,,Group,,1501,5063,,lastfm+mb
Love and peace,Rockie Rode,Rockie Rode; Izzy Goldbow,Love and peace,,,,,2025-11-23,2:01,False,https://open.spotify.com/track/1gtqV4M416DLzssQDIvxsH,spotify:track:1gtqV4M416DLzssQDIvxsH,29490,151848,dream pop; experimental,,,,100,,,,,1125,2995,,lastfm+mb
Salvation,Ivy Knight,Ivy Knight,Feet of Mud,,,,,2022-07-16,3:26,False,https://open.spotify.com/track/1c41fc40PnBvN5gVrm11UI,spotify:track:1c41fc40PnBvN5gVrm11UI,24168,290019,bedroom pop; indie; alternative rock; indie rock; alternative country,US,United States,soul; quiet storm; motown; classic pop and rock; smooth soul,100,1953,1989,Group,,13654,78223,,lastfm+mb
Suzuki Rhythm Boy,The Crying Nudes,The Crying Nudes,The Crying Nudes,,,,,2024-09-06,1:50,False,https://open.spotify.com/track/4fTd9eB4LE82ZsC0jTiHjH,spotify:track:4fTd9eB4LE82ZsC0jTiHjH,155645,3572730,dream pop; ambient; indie; alternative; UK,GB,United Kingdom,,100,,,Group,,35973,245697,,lastfm+mb
Swan Song,Samba Jean-Baptiste,Samba Jean-Baptiste; Alana Markel,+3,,,,,2026-04-01,2:45,False,https://open.spotify.com/track/0i2VfXRfXclXxWUvHkIqPe,spotify:track:0i2VfXRfXclXxWUvHkIqPe,56324,1177825,singer-songwriter; indie; Brooklyn; alternative; indie folk,FR,France,classical; composer; baroque; french composer,100,1632,1687,Person,male,3539,10567,,lastfm+mb
Plea and Luck,Colle,Colle,Montalvo,,,,,2024-11-13,4:12,False,https://open.spotify.com/track/0v8yQ2tl7zViybZyEaMVF8,spotify:track:0v8yQ2tl7zViybZyEaMVF8,51462,379596,ambient; indie; techno; Progressive; trip hop,US,United States,,100,,,Person,female,6347,15555,,lastfm+mb
I Need Blood,The Furniture Group,The Furniture Group,I Need Blood,,,,,2024-08-16,2:23,False,https://open.spotify.com/track/3mxcteNg5amQM2OziMXggy,spotify:track:3mxcteNg5amQM2OziMXggy,5422,40843,indie rock; rock; american; USA; dream pop,GB,United Kingdom,rock and indie,100,1979,1991,Group,,2404,8354,,lastfm+mb
ááá,Threshold,Threshold,Thief,,,,,2024-02-08,1:27,False,https://open.spotify.com/track/5yAMFUioP7OkMutcBMQHWF,spotify:track:5yAMFUioP7OkMutcBMQHWF,138837,5158315,Progressive metal; Progressive rock; heavy metal; metal; Progressive,GB,United Kingdom,progressive metal,100,1988,,Group,,1943,5435,,lastfm+mb
Crystal,Deer park,Deer park,Terra Infirma,,,,,2025-04-04,2:57,False,https://open.spotify.com/track/1iFsFhFsQa4CGobJXvVdob,spotify:track:1iFsFhFsQa4CGobJXvVdob,38572,465721,dream pop; indie rock; water; Played a WagonWheel show at The Grapes,US,United States,rock; alternative rock; industrial rock; metal; american,100,1996,,Group,,15292,55437,,lastfm
snow bunny,Florence Sinclair,Florence Sinclair,"departures, wonders & tears",,,,,2023-07-20,3:12,True,https://open.spotify.com/track/7G6KG1X5gDug8f5MoV0NX9,spotify:track:7G6KG1X5gDug8f5MoV0NX9,45552,773311,electronica; ambient; rap; alternative; idm,DE,Germany,fuzzy artist - series; has german audio plays; series title as artist; audio drama; _consistency,100,1981,,Character,male,6890,34827,,lastfm+mb
I Think I Saw,Chanel Beads,Chanel Beads,Your Day Will Come,,,,,2024-04-19,3:11,False,https://open.spotify.com/track/0vN0RFz15RkoonNLQPLgW1,spotify:track:0vN0RFz15RkoonNLQPLgW1,234266,4319668,experimental; dream pop; indie pop; american; Neo-Psychedelia,,New York,,100,,,Group,,44435,222478,,lastfm+mb
UK Postgame,Samba Jean-Baptiste,Samba Jean-Baptiste,UK Postgame,,,,,2026-03-20,2:32,True,https://open.spotify.com/track/3UZ00VPEIoq5nokIT1udOY,spotify:track:3UZ00VPEIoq5nokIT1udOY,56324,1177825,singer-songwriter; indie; Brooklyn; alternative; indie folk,FR,France,classical; composer; baroque; french composer,100,1632,1687,Person,male,4164,16810,,lastfm+mb
