track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
staying in,cxlt.,cxlt.,staying in,53,60,9317,lo-fi hip hop; lo-fi; lo-fi beats,2025-07-04,2:23,False,https://open.spotify.com/track/3aBK2PwFzZyejxHd4x2OhM,spotify:track:3aBK2PwFzZyejxHd4x2OhM,307904,3048282,electronic; netherlands; Lo-Fi; instrumental hip-hop; lo-fi hip hop,NL,Netherlands,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,13858,38040,,lastfm+mb
Last Dream,cxlt.,cxlt.; Dontcry,Last Dream,53,60,9317,lo-fi hip hop; lo-fi; lo-fi beats,2024-07-26,2:14,False,https://open.spotify.com/track/178aGmer2dlhSEfd08HCv5,spotify:track:178aGmer2dlhSEfd08HCv5,307904,3048282,electronic; netherlands; Lo-Fi; instrumental hip-hop; lo-fi hip hop,NL,Netherlands,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,21597,57941,,lastfm+mb
Drifting,Juliàn,Juliàn; Sewelo,Drifting,55,58,3646,lo-fi; lo-fi beats,2025-10-17,1:50,False,https://open.spotify.com/track/6B9ELSnOHcq7FpDdIOYeoM,spotify:track:6B9ELSnOHcq7FpDdIOYeoM,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,9500,22214,,lastfm+mb
From The Heart,Juliàn,Juliàn; marsquake,From The Heart,55,58,3646,lo-fi; lo-fi beats,2026-01-09,1:52,False,https://open.spotify.com/track/2apXqamCRBgr7j7Es97K4v,spotify:track:2apXqamCRBgr7j7Es97K4v,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,6624,15804,,lastfm+mb
Hope For Harmony,Juliàn,Juliàn,Eternal Youth,40,58,3646,lo-fi; lo-fi beats,2023-01-12,2:35,False,https://open.spotify.com/track/7B85rHOEnYr6eAE1xnlBeR,spotify:track:7B85rHOEnYr6eAE1xnlBeR,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,45568,104947,,lastfm+mb
yesterday's dream,Juliàn,Juliàn; Tibeauthetraveler,yesterday's dream,52,58,3646,lo-fi; lo-fi beats,2025-02-07,2:33,False,https://open.spotify.com/track/4kzBJGW4JBRf81gzi7Hd4x,spotify:track:4kzBJGW4JBRf81gzi7Hd4x,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,9694,45164,,lastfm+mb
Along The Way,Juliàn,Juliàn; Dosi,Along The Way,50,58,3646,lo-fi; lo-fi beats,2025-11-28,3:06,False,https://open.spotify.com/track/2DKv6zYztrPEA0gR30tn2E,spotify:track:2DKv6zYztrPEA0gR30tn2E,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,5419,10139,,lastfm+mb
Internal Forces,Juliàn,Juliàn,Mysteries Of Life,52,58,3646,lo-fi; lo-fi beats,2024-01-01,2:23,False,https://open.spotify.com/track/51eoQ4AdUpV2BZFEdMH2df,spotify:track:51eoQ4AdUpV2BZFEdMH2df,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,36635,82962,,lastfm+mb
Playing at the Quiet Hour,Youthology,Youthology; xander.,Time Lapse,57,44,677,lo-fi; lo-fi beats; jazz beats,2025-12-19,2:59,False,https://open.spotify.com/track/590o8NliZmWfGVyGwoiJ5b,spotify:track:590o8NliZmWfGVyGwoiJ5b,28536,73091,,,,hip hop; chillwave; lo-fi; instrumental hip hop; lo-fi hip hop,100,,,Person,male,8145,20098,,lastfm+mb
Cabin In A Forest,xander.,xander.,Daydreaming,55,57,24716,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,2021-06-09,3:13,False,https://open.spotify.com/track/55v0qQRNpvwviqvxRmkGWa,spotify:track:55v0qQRNpvwviqvxRmkGWa,377556,4197839,Lo-Fi; electronic; United States; USA; instrumental hip-hop,US,United States,trance; downtempo; pop; dubstep; hardcore,100,,,Person,male,35127,80139,,lastfm+mb
