track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Pelo Bem da Minha Saudade,Gusttavo Lima,Gusttavo Lima,Feito À Mão Vol. 01,83,84,23760736,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,2025-08-13,2:51,False,https://open.spotify.com/track/2W8XL6iRGMmGHpqW2TKcXc,spotify:track:2W8XL6iRGMmGHpqW2TKcXc,567082,16154628,sertanejo; pop; male vocalists; Sertanejo Universitario; brazilian,BR,Brazil,sertanejo; latin; singer-songwriter; sertanejo universitário,100,1989,,Person,male,22711,94638,,lastfm+mb
Vai Tomando Pock Pock,Mc Lele JP,Mc Lele JP; MC Leozinho ZS; MC GH Original; MC Menor ZL; DJ GORDINHO DA VF; MC Meno K; MC PR,Chatão,83,83,1427049,brazilian funk; funk consciente; trap funk,2025-08-07,5:35,True,https://open.spotify.com/track/020De83tFmcTrgEpzdUCNS,spotify:track:020De83tFmcTrgEpzdUCNS,127893,2339392,funk; brasil,BR,Brazil,,100,,,Person,,48924,297688,,lastfm+mb
Saudade do Carai,Mari Fernandez,Mari Fernandez; Grelo; Natanzinho Lima,Saudade do Carai,82,73,4094072,piseiro; sertanejo; forró; arrocha; agronejo; sertanejo universitário,2025-11-20,2:50,False,https://open.spotify.com/track/0HixceBFegrCY3GFBB7SlQ,spotify:track:0HixceBFegrCY3GFBB7SlQ,193129,5504474,brazilian; Forro; piseiro; cantora de forro; female vocalists,MX,Mexico,latin; national folk; ranchera,100,1940,2021,Person,male,32394,215339,,lastfm+mb
"Desliza (""Ólhinho"" No Corpinho)",Léo Santana,Léo Santana; Melody,"Desliza (""Ólhinho"" No Corpinho)",82,73,2471464,pagode baiano; axé; piseiro; pagode; arrocha; brazilian pop; brazilian funk,2025-05-16,2:26,False,https://open.spotify.com/track/2gLUZtZN1gfercLP9guft3,spotify:track:2gLUZtZN1gfercLP9guft3,214884,2712470,brazil; brazilian; pagode baiano; brasil; Pagode,US,United States,rock; jazz; american; guitar; hard rock,100,1966,,Group,,154924,1182269,,lastfm+mb
Apaga Apaga Apaga - Ao Vivo,Danilo e Davi,Danilo e Davi,Toma Essa Verdade (Ao Vivo),83,71,450464,sertanejo; agronejo; sertanejo universitário,2024-08-09,2:58,False,https://open.spotify.com/track/17tg01y3RhlfRKMnd333yL,spotify:track:17tg01y3RhlfRKMnd333yL,88274,1047386,,BR,Brazil,,100,2021,,Group,,74178,632193,,lastfm+mb
P do Pecado - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; Simone Mendes,MOLHO (Ao Vivo),82,86,6948406,pagode; samba,2025-10-16,3:12,False,https://open.spotify.com/track/38Ps9Kui6qJjpVqdBOfN5M,spotify:track:38Ps9Kui6qJjpVqdBOfN5M,387541,13864614,brazil; brazilian; samba,BR,Brazil,,100,,,Group,,139405,1033042,,lastfm+mb
Pela Última Vez - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; NATTAN,MOLHO (Ao Vivo),81,86,6948406,pagode; samba,2025-10-16,2:42,False,https://open.spotify.com/track/6B7ot6Wlqf7zt3FCkYl2FJ,spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ,387541,13864614,brazil; brazilian; samba,BR,Brazil,,100,,,Group,,82747,477788,,lastfm+mb
Baqueado - Ao Vivo,Panda,Panda; Ícaro e Gilmar; MJ Records,Panda Sem Moderação (Ao Vivo),82,85,450531,sertanejo; sertanejo universitário,2024-12-19,2:26,False,https://open.spotify.com/track/25CffgwZg6vlUdCsHJijZo,spotify:track:25CffgwZg6vlUdCsHJijZo,216953,7872333,rock; pop punk; punk rock; punk; emo,MX,Mexico,poetics,100,1996,2016,Group,,49272,388604,,lastfm+mb
Calcinha de Renda - Ao Vivo,Panda,Panda; Gusttavo Lima; MJ Records,Calcinha de Renda (Ao Vivo),82,85,450531,sertanejo; sertanejo universitário,2025-11-26,3:19,False,https://open.spotify.com/track/2a9WkloaIu64sryr4JTdTi,spotify:track:2a9WkloaIu64sryr4JTdTi,216953,7872333,rock; pop punk; punk rock; punk; emo,MX,Mexico,poetics,100,1996,2016,Group,,17918,66306,,lastfm+mb
Despacito,Luis Fonsi,Luis Fonsi; Daddy Yankee,VIDA,82,78,11105735,latin,2019-02-01,3:49,False,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,1384349,15842933,latin; pop; latin pop; spanish; Romantica,PR,Puerto Rico,latin; yo no me doy por vencido; latin pop; pop,100,1978,,Person,male,609283,3372875,latin; latin pop; pop; 2010s; 2017,lastfm+mb
