track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Deeper,Patch +,Patch +,White Paper,16,30,7950,electroclash,2023-07-14,2:24,False,https://open.spotify.com/track/0ZCzxgH0fm6xiBBqBDAoZw,spotify:track:0ZCzxgH0fm6xiBBqBDAoZw,0,0,,,,,100,2020,,,,0,0,,mb
With All,Patch +,Patch +,White Paper,16,30,7950,electroclash,2023-07-14,2:37,False,https://open.spotify.com/track/0yYzfacCxFrA8d2lImTQWW,spotify:track:0yYzfacCxFrA8d2lImTQWW,0,0,,,,,100,2020,,,,0,0,,mb
Deep Enough,Patch +,Patch +,White Paper,18,30,7950,electroclash,2023-07-14,1:24,False,https://open.spotify.com/track/75jilRYpmWbDi1QWAMI0f7,spotify:track:75jilRYpmWbDi1QWAMI0f7,0,0,,,,,100,2020,,,,0,0,,mb
in the spotlight,Patch +,Patch +,in the spotlight,17,30,7950,electroclash,2023-01-02,3:04,True,https://open.spotify.com/track/0dnF1rmnG2FAElIarcrmMo,spotify:track:0dnF1rmnG2FAElIarcrmMo,0,0,,,,,100,2020,,,,0,0,,mb
To Take the Space,Patch +,Patch +,White Paper,18,30,7950,electroclash,2023-07-14,2:24,False,https://open.spotify.com/track/1kq3wd2ZrWax0FnxKoj2dc,spotify:track:1kq3wd2ZrWax0FnxKoj2dc,0,0,,,,,100,2020,,,,0,0,,mb
Desayuno,Patch +,Patch +,White Paper,21,30,7950,electroclash,2023-07-14,2:17,False,https://open.spotify.com/track/46EEjTxznTPuYG381hkfbT,spotify:track:46EEjTxznTPuYG381hkfbT,0,0,,,,,100,2020,,,,0,0,,mb
thank you,Lee Ikari,Lee Ikari,Depakote (Son of Lithium),8,32,2235,cloud rap,2024-12-31,1:36,False,https://open.spotify.com/track/7vKEpfNYaSyRhPXortwyE7,spotify:track:7vKEpfNYaSyRhPXortwyE7,22018,181105,cloud rap,,,,100,,,,,189,702,,lastfm+mb
Born Again,Lee Ikari,Lee Ikari,Depakote (Son of Lithium),15,32,2235,cloud rap,2024-12-31,4:44,True,https://open.spotify.com/track/5MfECLh2BArczzBgZGlIvW,spotify:track:5MfECLh2BArczzBgZGlIvW,22018,181105,cloud rap,,,,100,,,,,701,1354,,lastfm+mb
novemberfreestyle,Lee Ikari,Lee Ikari,Depakote (Son of Lithium),16,32,2235,cloud rap,2024-12-31,4:00,True,https://open.spotify.com/track/71OhSFtR17cM2kKxnbLwx6,spotify:track:71OhSFtR17cM2kKxnbLwx6,22018,181105,cloud rap,,,,100,,,,,916,2140,,lastfm+mb
watch me,Lee Ikari,Lee Ikari,Depakote (Son of Lithium),16,32,2235,cloud rap,2024-12-31,2:07,True,https://open.spotify.com/track/3ltlVmiHtQ6v2eoZqE1c3O,spotify:track:3ltlVmiHtQ6v2eoZqE1c3O,22018,181105,cloud rap,,,,100,,,,,1103,2222,,lastfm+mb
octoberfreestyle,Lee Ikari,Lee Ikari,Depakote (Son of Lithium),19,32,2235,cloud rap,2024-12-31,2:58,True,https://open.spotify.com/track/1jpkYxI2eioX2mKfxp1p40,spotify:track:1jpkYxI2eioX2mKfxp1p40,22018,181105,cloud rap,,,,100,,,,,1268,2587,,lastfm+mb
Dummy (feat. Chriss),Lee Ikari,Lee Ikari; Chriss,Depakote (Son of Lithium),18,32,2235,cloud rap,2024-12-31,2:59,True,https://open.spotify.com/track/2TYNMc6AF4hC1Bqo0ftnPk,spotify:track:2TYNMc6AF4hC1Bqo0ftnPk,22018,181105,cloud rap,,,,100,,,,,1301,2667,,lastfm+mb
wrldtopicinterlude,Lee Ikari,Lee Ikari,Depakote (Son of Lithium),18,32,2235,cloud rap,2024-12-31,1:55,True,https://open.spotify.com/track/2y05cwOBs8hPknNECv4uKj,spotify:track:2y05cwOBs8hPknNECv4uKj,22018,181105,cloud rap,,,,100,,,,,975,2124,,lastfm+mb
malice@thepalace,Lee Ikari,Lee Ikari,DREAM:BARDO prelude,18,32,2235,cloud rap,2026-01-13,2:11,True,https://open.spotify.com/track/6rE4c4YVEHP2ZvAPp3rvOE,spotify:track:6rE4c4YVEHP2ZvAPp3rvOE,22018,181105,cloud rap,,,,100,,,,,733,1499,,lastfm+mb
easyrevenge4goodkarma,Lee Ikari,Lee Ikari,DREAM:BARDO prelude,19,32,2235,cloud rap,2026-01-13,2:01,True,https://open.spotify.com/track/139tzeB8ZXnl6Ri68Q1SeT,spotify:track:139tzeB8ZXnl6Ri68Q1SeT,22018,181105,cloud rap,,,,100,,,,,438,1212,,lastfm+mb
Bend & Curve,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,3,2,337,experimental,2025-02-19,4:20,False,https://open.spotify.com/track/4sFzaJV8yvCuqshEID1w2o,spotify:track:4sFzaJV8yvCuqshEID1w2o,1896,5723,,,,,100,,,,,218,385,,lastfm+mb
you're dead Inside,Ydegirl,Ydegirl,Ydegirl,4,33,8772,,2021-10-15,0:48,False,https://open.spotify.com/track/1otmmqFbPriu8lOoOxRyX0,spotify:track:1otmmqFbPriu8lOoOxRyX0,34443,187174,experimental; indie pop; denmark; art pop,,Copenhagen,,100,,,Person,female,903,1906,,lastfm
Took Work from my Tongue and gave it to my Heart,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,4,2,337,experimental,2025-02-19,3:40,False,https://open.spotify.com/track/0zl45jsENCOCDmJgVZElKX,spotify:track:0zl45jsENCOCDmJgVZElKX,1896,5723,,,,,100,,,,,310,513,,lastfm+mb
Neversafe,Ydegirl,Ydegirl,Ydegirl,4,33,8772,,2021-10-15,6:03,False,https://open.spotify.com/track/3KqajJldEMMOLqjvO2XW0p,spotify:track:3KqajJldEMMOLqjvO2XW0p,34443,187174,experimental; indie pop; denmark; art pop,,Copenhagen,,100,,,Person,female,551,1418,,lastfm
Young but Intelligent,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,4,2,337,experimental,2025-02-19,4:14,False,https://open.spotify.com/track/2S9YbVHc57pKnhV0s0J7Z3,spotify:track:2S9YbVHc57pKnhV0s0J7Z3,1896,5723,,,,,100,,,,,458,1002,,lastfm+mb
Sound of a Bite,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,5,2,337,experimental,2025-02-19,5:16,False,https://open.spotify.com/track/3JU5caFVRtBFdvOuD9Q6R6,spotify:track:3JU5caFVRtBFdvOuD9Q6R6,1896,5723,,,,,100,,,,,316,708,,lastfm+mb
Dares Soar,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,6,2,337,experimental,2025-02-19,3:28,True,https://open.spotify.com/track/6oKklyKL2Zkt08Gx28Uwot,spotify:track:6oKklyKL2Zkt08Gx28Uwot,1896,5723,,,,,100,,,,,1433,3090,,lastfm+mb
breezing back and forth between,Ydegirl,Ydegirl,Ydegirl,6,33,8772,,2021-10-15,4:34,False,https://open.spotify.com/track/70jioNRE93zMolvj73Sq19,spotify:track:70jioNRE93zMolvj73Sq19,34443,187174,experimental; indie pop; denmark; art pop,,Copenhagen,,100,,,Person,female,2440,6832,,lastfm
Spiral girl,Ydegirl,Ydegirl,Ydegirl,6,33,8772,,2021-10-15,3:06,False,https://open.spotify.com/track/6cBOkbIOwfREshkagMWzyn,spotify:track:6cBOkbIOwfREshkagMWzyn,34443,187174,experimental; indie pop; denmark; art pop,,Copenhagen,,100,,,Person,female,1066,2903,,lastfm
words woozy in the breeze,Ydegirl,Ydegirl,words woozy in the breeze,6,33,8772,,2019-04-19,4:27,True,https://open.spotify.com/track/04qIbTq1XK8LJYvo9ql8Xd,spotify:track:04qIbTq1XK8LJYvo9ql8Xd,34443,187174,experimental; indie pop; denmark; art pop,,Copenhagen,,100,,,Person,female,1102,3423,,lastfm
French Maid - The Clonious Remix,S.Maharba,S.Maharba; The Clonious,Remixed,1,34,26145,plunderphonics,2013-02-26,4:05,False,https://open.spotify.com/track/0sYtnyESzHD8EUYGDF2wZ0,spotify:track:0sYtnyESzHD8EUYGDF2wZ0,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,707,1440,,lastfm+mb
Nice To Meet You - Sweatson Klank Remix,S.Maharba,S.Maharba; Sweatson Klank,Remixed,1,34,26145,plunderphonics,2013-02-26,3:18,False,https://open.spotify.com/track/70oNkkaCDH9Ji2saScKCRy,spotify:track:70oNkkaCDH9Ji2saScKCRy,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,852,1775,,lastfm+mb
Heels - Shigeto Remix,S.Maharba,S.Maharba; Shigeto,Remixed,1,34,26145,plunderphonics,2013-02-26,4:40,False,https://open.spotify.com/track/5BzIqOAHQ3rwFm59CDmpJS,spotify:track:5BzIqOAHQ3rwFm59CDmpJS,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,943,1854,,lastfm+mb
Afternoon - Mike Slott Remix,S.Maharba,S.Maharba; Mike Slott,Remixed,2,34,26145,plunderphonics,2013-02-26,4:26,False,https://open.spotify.com/track/3B58wzYnoqsbqfjNgkIslt,spotify:track:3B58wzYnoqsbqfjNgkIslt,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,1110,2185,,lastfm+mb
A Mthrs Srrw,S.Maharba,S.Maharba,Mirror & Veil,2,34,26145,plunderphonics,2017-06-22,3:19,False,https://open.spotify.com/track/0WcNFTu4c87TNz8QyTPUA0,spotify:track:0WcNFTu4c87TNz8QyTPUA0,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,598,1415,,lastfm+mb
Ghost Of Myself,S.Maharba,S.Maharba,Most Forgotten,3,34,26145,plunderphonics,2015-01-31,5:38,False,https://open.spotify.com/track/5czSD3k8sL3KHfePCrqm1K,spotify:track:5czSD3k8sL3KHfePCrqm1K,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,1208,3329,,lastfm+mb
Bricked Up,S.Maharba,S.Maharba,Mirror & Veil,4,34,26145,plunderphonics,2017-06-22,3:37,False,https://open.spotify.com/track/6Adp9c2idINUjPjmwlON6k,spotify:track:6Adp9c2idINUjPjmwlON6k,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,891,2400,,lastfm+mb
All Over Now,S.Maharba,S.Maharba,Most Forgotten,4,34,26145,plunderphonics,2015-01-31,1:48,False,https://open.spotify.com/track/5AfSVaH6kXrWEE929A1Ppy,spotify:track:5AfSVaH6kXrWEE929A1Ppy,122302,1902755,psychedelic; trip-hop; abstract hip-hop; electronic; Hip-Hop,GB,United Kingdom,,100,,,Person,male,1150,3133,,lastfm+mb
