artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
butterfli,6A3Fdu30Vz62jf3XP5pLy5,50,205,lo-fi; lo-fi beats,https://open.spotify.com/artist/6A3Fdu30Vz62jf3XP5pLy5,https://i.scdn.co/image/ab67616d0000b27311bfe5af897973e9f9e227bc
Mellow Melt,6Ur5qbkaIdwqygJFTTjyHJ,50,612,lo-fi,https://open.spotify.com/artist/6Ur5qbkaIdwqygJFTTjyHJ,https://i.scdn.co/image/ab67616d0000b27321bc7b8508b0898e60e0202f
Lil Leaf,1GXcMejVQYwn2UstbQ0eHY,53,616,lo-fi; lo-fi beats,https://open.spotify.com/artist/1GXcMejVQYwn2UstbQ0eHY,https://i.scdn.co/image/ab67616d0000b2732d9301898383cc80bebac0b3
Hoogway,1Mh9G47YfuaLdQs44voLrQ,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/1Mh9G47YfuaLdQs44voLrQ,https://i.scdn.co/image/ab6761610000e5ebd6e81aab6feaaf869f54f333
Plaxon,5rRInZb0tVQj0SuiTC5tIM,47,20,,https://open.spotify.com/artist/5rRInZb0tVQj0SuiTC5tIM,https://i.scdn.co/image/ab6761610000e5eb065c8070335153a97d8209d9
Fya Playce,7M7ryKqUcnn2r0F08gYuxr,50,737,lo-fi beats; lo-fi,https://open.spotify.com/artist/7M7ryKqUcnn2r0F08gYuxr,https://i.scdn.co/image/ab67616d0000b273d5e6b4d393990ba8050382b6
mommy,0DJoMHFNyxWdoGqi8XMdfk,43,25390,lo-fi beats; lo-fi; lo-fi hip hop,https://open.spotify.com/artist/0DJoMHFNyxWdoGqi8XMdfk,https://i.scdn.co/image/ab6761610000e5ebaceafcbe590d77ac42f03dc4
DreamWavez,4OZJkUu3poNHvSgPZ8RBup,42,121,lo-fi beats; lo-fi,https://open.spotify.com/artist/4OZJkUu3poNHvSgPZ8RBup,https://i.scdn.co/image/ab67616d0000b27303b6e3dbb9994608c2d8a102
Theo Aabel,6yxMxVw1MRLoB9EJWO5XVe,50,2398,lo-fi,https://open.spotify.com/artist/6yxMxVw1MRLoB9EJWO5XVe,https://i.scdn.co/image/ab6761610000e5ebc841913777e5c811fced1899
xander.,6ysKfYgiKUTMCuq2fSTLK3,57,24716,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,https://open.spotify.com/artist/6ysKfYgiKUTMCuq2fSTLK3,https://i.scdn.co/image/ab6761610000e5eb266e76bb9afa276d08aece6c
HM Surf,6TeBxtluBMQixZcKkJ3ZrB,56,33956,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/6TeBxtluBMQixZcKkJ3ZrB,https://i.scdn.co/image/ab6761610000e5ebc1105b865f1018cfc7df79d7
Leavv,7sNw4pNLLJNGrU62O80WGE,53,28995,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,https://open.spotify.com/artist/7sNw4pNLLJNGrU62O80WGE,https://i.scdn.co/image/ab6761610000e5eb6d501e25934fa5007fb5dd03
sad notes,6LlMF86oZBZG1nvkIkso0A,50,315,lo-fi,https://open.spotify.com/artist/6LlMF86oZBZG1nvkIkso0A,https://i.scdn.co/image/ab67616d0000b273fdb09eb5189962b461702291
Flitz&Suppe,49WbztFLx9iDTh8LHEIF84,51,26870,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,https://open.spotify.com/artist/49WbztFLx9iDTh8LHEIF84,https://i.scdn.co/image/ab6761610000e5ebefbf19361a230077dd4f9cea
Indigo Songs,2BWhKXeKs6nnuRF8Z7v7Mj,52,809,lo-fi; lo-fi beats,https://open.spotify.com/artist/2BWhKXeKs6nnuRF8Z7v7Mj,https://i.scdn.co/image/ab6761610000e5ebea8fc8c9a89b4bd95b42a03d
Osian Lewis,3kn72XyMIHZfZAQ4LqsUEs,48,149,lo-fi,https://open.spotify.com/artist/3kn72XyMIHZfZAQ4LqsUEs,https://i.scdn.co/image/ab67616d0000b273f803578124d659d727baca46
mell-ø,6bA2OonnJsG1tN9yClu2aC,53,18706,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/6bA2OonnJsG1tN9yClu2aC,https://i.scdn.co/image/ab6761610000e5eb022046cc52cc0b8ccae376b0
heirloom,3Q6Jurd5PQMm7Q52Xk6yuW,51,149,lo-fi beats; lo-fi,https://open.spotify.com/artist/3Q6Jurd5PQMm7Q52Xk6yuW,https://i.scdn.co/image/ab6761610000e5ebf433af3f6d877ae4c77b58af
jxsn,7BeumVAbvoeULv5kuq5lhS,55,598,lo-fi,https://open.spotify.com/artist/7BeumVAbvoeULv5kuq5lhS,https://i.scdn.co/image/ab6761610000e5eb2f46a263c57bfb42f54c684a
Analogue Alf,4FVJdMWSQhn3zO1NKxMHAi,51,193,lo-fi beats; lo-fi,https://open.spotify.com/artist/4FVJdMWSQhn3zO1NKxMHAi,https://i.scdn.co/image/ab67616d0000b2730bd4728824ff27ab9def9a32
jaackson,1Mvzmc04DfxzjMsV6oCohI,49,1677,lo-fi beats; lo-fi; jazz beats; lo-fi hip hop,https://open.spotify.com/artist/1Mvzmc04DfxzjMsV6oCohI,https://i.scdn.co/image/ab6761610000e5ebc045a1d88a005f3725aeced1
Sleepr Cell,7eci6ktzmN5wocxdk17C2m,49,700,lo-fi beats; lo-fi,https://open.spotify.com/artist/7eci6ktzmN5wocxdk17C2m,https://i.scdn.co/image/ab67616d0000b27302263ecad028bc1221c7edd2
BeatsBySindri,3l4l6Du65QxJ1uhw8SLsyV,47,455,lo-fi beats; lo-fi,https://open.spotify.com/artist/3l4l6Du65QxJ1uhw8SLsyV,https://i.scdn.co/image/ab6761610000e5eb665544058b6646542e2801b7
cxlt.,1TFqjcoVis5TzVQxrHMSfA,60,9317,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/1TFqjcoVis5TzVQxrHMSfA,https://i.scdn.co/image/ab6761610000e5eb34f63f9738ed37543a3d90c7
